"id","province_id","name","created_at","updated_at"
"1508","15","KABUPATEN TEBO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1509","15","KABUPATEN BUNGO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1571","15","KOTA JAMBI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1572","15","KOTA SUNGAI PENUH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1601","16","KABUPATEN OGAN KOMERING ULU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1602","16","KABUPATEN OGAN KOMERING ILIR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1603","16","KABUPATEN MUARA ENIM","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1604","16","KABUPATEN LAHAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1605","16","KABUPATEN MUSI RAWAS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1606","16","KABUPATEN MUSI BANYUASIN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1607","16","KABUPATEN BANYU ASIN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1608","16","KABUPATEN OGAN KOMERING ULU SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1609","16","KABUPATEN OGAN KOMERING ULU TIMUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1610","16","KABUPATEN OGAN ILIR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1611","16","KABUPATEN EMPAT LAWANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1612","16","KABUPATEN PENUKAL ABAB LEMATANG ILIR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1613","16","KABUPATEN MUSI RAWAS UTARA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1671","16","KOTA PALEMBANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1672","16","KOTA PRABUMULIH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1673","16","KOTA PAGAR ALAM","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1674","16","KOTA LUBUKLINGGAU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1701","17","KABUPATEN BENGKULU SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1702","17","KABUPATEN REJANG LEBONG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1703","17","KABUPATEN BENGKULU UTARA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1704","17","KABUPATEN KAUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1705","17","KABUPATEN SELUMA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1706","17","KABUPATEN MUKOMUKO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1707","17","KABUPATEN LEBONG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1708","17","KABUPATEN KEPAHIANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1709","17","KABUPATEN BENGKULU TENGAH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1771","17","KOTA BENGKULU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1801","18","KABUPATEN LAMPUNG BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1802","18","KABUPATEN TANGGAMUS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1803","18","KABUPATEN LAMPUNG SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1804","18","KABUPATEN LAMPUNG TIMUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1805","18","KABUPATEN LAMPUNG TENGAH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1806","18","KABUPATEN LAMPUNG UTARA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1807","18","KABUPATEN WAY KANAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1808","18","KABUPATEN TULANGBAWANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1809","18","KABUPATEN PESAWARAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1810","18","KABUPATEN PRINGSEWU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1811","18","KABUPATEN MESUJI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1812","18","KABUPATEN TULANG BAWANG BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1813","18","KABUPATEN PESISIR BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1871","18","KOTA BANDAR LAMPUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1872","18","KOTA METRO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1901","19","KABUPATEN BANGKA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1902","19","KABUPATEN BELITUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1903","19","KABUPATEN BANGKA BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1904","19","KABUPATEN BANGKA TENGAH","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1905","19","KABUPATEN BANGKA SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1906","19","KABUPATEN BELITUNG TIMUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"1971","19","KOTA PANGKAL PINANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2101","21","KABUPATEN KARIMUN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2102","21","KABUPATEN BINTAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2103","21","KABUPATEN NATUNA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2104","21","KABUPATEN LINGGA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2105","21","KABUPATEN KEPULAUAN ANAMBAS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2171","21","KOTA B A T A M","10/7/2019 11:48:42","10/7/2019 11:48:50"
"2172","21","KOTA TANJUNG PINANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3101","31","KABUPATEN KEPULAUAN SERIBU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3171","31","KOTA JAKARTA SELATAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3172","31","KOTA JAKARTA TIMUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3173","31","KOTA JAKARTA PUSAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3174","31","KOTA JAKARTA BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3175","31","KOTA JAKARTA UTARA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3201","32","KABUPATEN BOGOR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3202","32","KABUPATEN SUKABUMI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3203","32","KABUPATEN CIANJUR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3204","32","KABUPATEN BANDUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3205","32","KABUPATEN GARUT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3206","32","KABUPATEN TASIKMALAYA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3207","32","KABUPATEN CIAMIS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3208","32","KABUPATEN KUNINGAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3209","32","KABUPATEN CIREBON","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3210","32","KABUPATEN MAJALENGKA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3211","32","KABUPATEN SUMEDANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3212","32","KABUPATEN INDRAMAYU","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3213","32","KABUPATEN SUBANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3214","32","KABUPATEN PURWAKARTA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3215","32","KABUPATEN KARAWANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3216","32","KABUPATEN BEKASI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3217","32","KABUPATEN BANDUNG BARAT","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3218","32","KABUPATEN PANGANDARAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3271","32","KOTA BOGOR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3272","32","KOTA SUKABUMI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3273","32","KOTA BANDUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3274","32","KOTA CIREBON","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3275","32","KOTA BEKASI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3276","32","KOTA DEPOK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3277","32","KOTA CIMAHI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3278","32","KOTA TASIKMALAYA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3279","32","KOTA BANJAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3301","33","KABUPATEN CILACAP","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3302","33","KABUPATEN BANYUMAS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3303","33","KABUPATEN PURBALINGGA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3304","33","KABUPATEN BANJARNEGARA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3305","33","KABUPATEN KEBUMEN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3306","33","KABUPATEN PURWOREJO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3307","33","KABUPATEN WONOSOBO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3308","33","KABUPATEN MAGELANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3309","33","KABUPATEN BOYOLALI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3310","33","KABUPATEN KLATEN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3311","33","KABUPATEN SUKOHARJO","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3312","33","KABUPATEN WONOGIRI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3313","33","KABUPATEN KARANGANYAR","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3314","33","KABUPATEN SRAGEN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3315","33","KABUPATEN GROBOGAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3316","33","KABUPATEN BLORA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3317","33","KABUPATEN REMBANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3318","33","KABUPATEN PATI","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3319","33","KABUPATEN KUDUS","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3320","33","KABUPATEN JEPARA","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3321","33","KABUPATEN DEMAK","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3322","33","KABUPATEN SEMARANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3323","33","KABUPATEN TEMANGGUNG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3324","33","KABUPATEN KENDAL","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3325","33","KABUPATEN BATANG","10/7/2019 11:48:42","10/7/2019 11:48:50"
"3326","33","KABUPATEN PEKALONGAN","10/7/2019 11:48:42","10/7/2019 11:48:50"
